reviewer,point,topic,notebooks,evidence,status
1,1,Sample accounting and structural overlap,01;02;10,data identity;split manifests;fixed-test analogue control,completed
1,2,Heterogeneous labels and coverage uncertainty,04;08,coverage and cluster bootstrap;source metadata limitations,completed within available metadata
1,3,Calibration versus display bandwidth and fallback,04;08;09,fallback sensitivity;mask fractions;separate bandwidths,completed
1,4,BTox validity and collinearity,07;09,VIF;correlations;residual deciles;separate calibration inputs,completed
1,5,Mean docking score and normalization,07,target-wise normalization;incremental docking comparison,completed
1,6,BBB baseline on matched test compounds,06,paired Plain/Baseline/specialist predictions,completed
1,7,SHAP and modality reliance,05,group permutation importance;SHAP additivity,completed;no matched-hyperparameter retraining ablation
1,8,Reproducibility and threshold stability,02;09;11,protocols;models;splits;bootstrap thresholds;checksums,completed;historical cutoff unknown
2,1,Introduction objectives and metric explanations,00;03;04,docs/manuscript_edits_en.md,prepared manuscript text
2,2,Conceptual uncertainty background,04,docs/manuscript_edits_en.md,prepared manuscript text
2,3,Methods positive assessment,11,portable reproduction instructions,no requested new experiment
2,4,Results interpretation and figure readability,03;04;05;12,corrected figures and captions,completed
2,5,Accessible discussion,00;11,docs/manuscript_edits_en.md,prepared manuscript text
2,6,Positive conclusions,00;04,stronger ADME predictor calibration,completed and prepared text
3,1,Log notation,00;03,consistent log10 target notation,prepared manuscript text
3,2,Physicochemical descriptor provenance,01;06,source/master versus RDKit-derived variables,completed within available provenance
3,3,BBB rule definition,06,rule reproduction;thresholds,completed
3,4,Confidence versus uncertainty terminology,00;04,empirical prediction-interval interpretation,prepared manuscript text
3,5,Predicted versus measured phenotypes,01;07,ADMET provenance and identity manifest,completed
3,6,Docking scores as computational proxies,07,scoped interpretation,prepared manuscript text
3,7,Mean44 normalization and weighting,07,target-wise normalized sensitivity;no biological weights inferred,completed
3,8,BTox alternatives,07,three separate coordinates;phenotype-only ablation,completed
3,9,Splits optimization and test independence,02;03;11,disjoint manifests;frozen hyperparameters;inner preprocessing,completed;no new Optuna search
3,10,Scope and positive conclusions,00;04,corrected ADME ranking and localizer benefit,completed and prepared text
3,11,Mechanistic interpretation limits,07,computational context distinguished from mechanisms,prepared manuscript text
